scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_sensors,leak_detected,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,t_detection,training_time_s,method
8,True,6000,0.015,medium,moderado,8000.0,2,True,5453.15771484375,0.54684228515625,0.025499999523162842,69.99999682108562,,195.116455078125,pinn
8,True,6000,0.015,medium,moderado,8000.0,3,True,5442.44921875,0.55755078125,0.025499999523162842,69.99999682108562,,209.83490133285522,pinn
8,True,6000,0.015,medium,dificil,25000.0,2,True,5445.83154296875,0.55416845703125,0.025499999523162842,69.99999682108562,,194.75407004356384,pinn
8,True,6000,0.015,medium,dificil,25000.0,3,True,5442.1669921875,0.5578330078125,0.025499999523162842,69.99999682108562,,203.48273420333862,pinn
8,True,6000,0.015,medium,muy_dificil,50000.0,2,True,5445.478515625,0.554521484375,0.025499999523162842,69.99999682108562,,192.8993625640869,pinn
8,True,6000,0.015,medium,muy_dificil,50000.0,3,True,5441.73876953125,0.55826123046875,0.025499999523162842,69.99999682108562,,212.9824869632721,pinn
9,True,6000,0.03,large,trivial,500.0,2,True,5340.06396484375,0.65993603515625,0.025499999523162842,15.00000158945719,,192.288259267807,pinn
9,True,6000,0.03,large,trivial,500.0,3,True,5402.28125,0.59771875,0.025499999523162842,15.00000158945719,,197.03564548492432,pinn
9,True,6000,0.03,large,facil,2000.0,2,True,5403.32861328125,0.59667138671875,0.025499999523162842,15.00000158945719,,188.20751070976257,pinn
9,True,6000,0.03,large,facil,2000.0,3,True,5402.2587890625,0.5977412109375,0.025499999523162842,15.00000158945719,,203.38440012931824,pinn
9,True,6000,0.03,large,moderado,8000.0,2,True,5403.21630859375,0.59678369140625,0.025499999523162842,15.00000158945719,,194.3183023929596,pinn
9,True,6000,0.03,large,moderado,8000.0,3,True,5402.10205078125,0.59789794921875,0.025499999523162842,15.00000158945719,,210.05390238761902,pinn
