scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_sensors,leak_detected,t_detection,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,method,inference_time_ms,has_leak_prob,training_time_s,noise_std_db
12,True,8000.0,0.03,large,muy_dificil,50000.0,2.0,True,50.08333333333333,7449.999999999997,0.5500000000000027,0.0298861831809296,0.3793893969012673,mass_balance_npw,,,,40.0
0,False,,0.0,none,trivial,500.0,3.0,True,54.08333333333333,1000.0,,7.147052105231079e-07,,mass_balance_npw,,,,0.0
1,True,2000.0,0.005,small,trivial,500.0,3.0,True,50.0,3500.0,1.5,0.0049708593406387,0.5828131872257641,mass_balance_npw,,,,0.0
2,True,2000.0,0.015,medium,trivial,500.0,3.0,True,50.0,3500.0,1.5,0.0149126035107664,0.5826432615567655,mass_balance_npw,,,,0.0
3,True,2000.0,0.03,large,trivial,500.0,3.0,True,50.0,3500.0,1.5,0.0298287653835951,0.5707820546829839,mass_balance_npw,,,,0.0
4,True,4000.0,0.005,small,trivial,500.0,3.0,True,51.66666666666666,4499.999999999998,0.4999999999999981,0.0049530822097147,0.9383558057056256,mass_balance_npw,,,,0.0
5,True,4000.0,0.015,medium,trivial,500.0,3.0,True,51.66666666666666,4499.999999999998,0.4999999999999981,0.0148613832746286,0.9241115024757076,mass_balance_npw,,,,0.0
6,True,4000.0,0.03,large,trivial,500.0,3.0,True,51.66666666666666,4499.999999999998,0.4999999999999981,0.0297323635820884,0.8921213930384216,mass_balance_npw,,,,0.0
7,True,6000.0,0.005,small,trivial,500.0,3.0,True,51.66666666666666,5500.000000000002,0.4999999999999981,0.0049390635610841,1.2187287783178846,mass_balance_npw,,,,0.0
8,True,6000.0,0.015,medium,trivial,500.0,3.0,True,51.66666666666666,5500.000000000002,0.4999999999999981,0.0148215408284995,1.189727810002687,mass_balance_npw,,,,0.0
9,True,6000.0,0.03,large,trivial,500.0,3.0,True,51.66666666666666,5500.000000000002,0.4999999999999981,0.0296590437934049,1.1365206886502246,mass_balance_npw,,,,0.0
10,True,8000.0,0.005,small,trivial,500.0,3.0,True,50.0,6399.999999999999,1.600000000000001,0.0049723527779976,0.5529444400464295,mass_balance_npw,,,,0.0
11,True,8000.0,0.015,medium,trivial,500.0,3.0,True,50.0,6399.999999999999,1.600000000000001,0.0149208165493944,0.5278896707039751,mass_balance_npw,,,,0.0
12,True,8000.0,0.03,large,trivial,500.0,3.0,True,50.0,6399.999999999999,1.600000000000001,0.0298558981839693,0.4803393867687406,mass_balance_npw,,,,0.0
0,False,,0.0,none,facil,2000.0,3.0,True,54.08333333333333,1000.0,,2.858820842089337e-06,,mass_balance_npw,,,,12.041199826559248
1,True,2000.0,0.005,small,facil,2000.0,3.0,True,50.0,3474.999999999999,1.4749999999999992,0.004972979233942,0.5404153211585951,mass_balance_npw,,,,12.041199826559248
2,True,2000.0,0.015,medium,facil,2000.0,3.0,True,50.0,3500.0,1.5,0.0149147234040698,0.5685106395343874,mass_balance_npw,,,,12.041199826559248
3,True,2000.0,0.03,large,facil,2000.0,3.0,True,50.0,3500.0,1.5,0.0298308852768984,0.5637157436717949,mass_balance_npw,,,,12.041199826559248
4,True,4000.0,0.005,small,facil,2000.0,3.0,True,51.66666666666666,4499.999999999998,0.4999999999999981,0.004955143252346,0.897134953079838,mass_balance_npw,,,,12.041199826559248
5,True,4000.0,0.015,medium,facil,2000.0,3.0,True,51.66666666666666,4499.999999999998,0.4999999999999981,0.0148634443172599,0.9103712182671176,mass_balance_npw,,,,12.041199826559248
6,True,4000.0,0.03,large,facil,2000.0,3.0,True,51.66666666666666,4499.999999999998,0.4999999999999981,0.0297344246247197,0.885251250934115,mass_balance_npw,,,,12.041199826559248
7,True,6000.0,0.005,small,facil,2000.0,3.0,True,51.66666666666666,5475.000000000001,0.5249999999999991,0.0049411246037153,1.177507925692097,mass_balance_npw,,,,12.041199826559248
8,True,6000.0,0.015,medium,facil,2000.0,3.0,True,51.66666666666666,5500.000000000002,0.4999999999999981,0.0148236018711308,1.1759875257940622,mass_balance_npw,,,,12.041199826559248
9,True,6000.0,0.03,large,facil,2000.0,3.0,True,51.66666666666666,5500.000000000002,0.4999999999999981,0.0296611048360362,1.1296505465459294,mass_balance_npw,,,,12.041199826559248
10,True,8000.0,0.005,small,facil,2000.0,3.0,True,50.0,6399.999999999999,1.600000000000001,0.004974472671301,0.5105465739792779,mass_balance_npw,,,,12.041199826559248
11,True,8000.0,0.015,medium,facil,2000.0,3.0,True,50.0,6399.999999999999,1.600000000000001,0.0149229364426977,0.5137570486815856,mass_balance_npw,,,,12.041199826559248
12,True,8000.0,0.03,large,facil,2000.0,3.0,True,50.0,6399.999999999999,1.600000000000001,0.0298580180772727,0.4732730757575401,mass_balance_npw,,,,12.041199826559248
