scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_pressure_sensors,leak_detected,t_detection,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,method,inference_time_ms,has_leak_prob
12,True,8000.00011920929,0.030000000447034835,large,moderado,8000,3,True,,8686.466813087463,0.6864666938781738,0.02565447986125946,14.48506840340691,lstm,0.5216598510742188,0.9654853343963623
0,False,,0.0,none,dificil,25000,3,True,,9514.47606086731,,0.0020856189541518686,,lstm,1.5075206756591797,0.8650593161582947
1,True,2000.0000298023224,0.00500000026077032,small,dificil,25000,3,True,,5937.99889087677,3.9379988610744476,0.008543374948203564,70.86749005263725,lstm,2.015352249145508,0.8258472084999084
2,True,4000.000059604645,0.00500000026077032,medium,dificil,25000,3,True,,8204.248547554016,4.204248487949371,0.008138414472341537,62.76828095780339,lstm,0.9970664978027344,0.8582935333251953
3,True,6000.000238418579,0.00500000026077032,large,dificil,25000,3,True,,9270.627498626709,3.27062726020813,0.004536413960158824,9.271725528671752,lstm,0.9989738464355469,0.8855743408203125
4,True,8000.00011920929,0.00500000026077032,small,dificil,25000,3,True,,9512.91799545288,1.5129178762435913,0.0024844511412084103,50.310979767316134,lstm,1.0001659393310547,0.8889752626419067
5,True,2000.0000298023224,0.015000000223517418,medium,dificil,25000,3,True,,2885.252833366394,0.8852528035640717,0.01850476786494255,23.365117261333506,lstm,1.10626220703125,0.8906610012054443
6,True,4000.000059604645,0.015000000223517418,large,dificil,25000,3,True,,5560.569167137146,1.5605691075325012,0.017313368618488312,15.42245573666013,lstm,0.9980201721191406,0.9097378253936768
7,True,6000.000238418579,0.015000000223517418,small,dificil,25000,3,True,,8136.845827102661,2.136845588684082,0.017808812856674194,18.725417275348047,lstm,1.0006427764892578,0.9364983439445496
8,True,8000.00011920929,0.015000000223517418,medium,dificil,25000,3,True,,9181.901216506958,1.1819010972976685,0.009664462879300117,35.57024843141066,lstm,0.9973049163818359,0.9464263319969177
9,True,2000.0000298023224,0.030000000447034835,large,dificil,25000,3,True,,1917.7496433258057,0.08225038647651672,0.02251610979437828,24.946301803792984,lstm,1.2562274932861328,0.9091118574142456
10,True,4000.000059604645,0.030000000447034835,small,dificil,25000,3,True,,3928.7468791007996,0.07125318050384521,0.026509076356887817,11.63641346042732,lstm,0.9958744049072266,0.9218215942382812
11,True,6000.000238418579,0.030000000447034835,medium,dificil,25000,3,True,,6945.217847824097,0.9452176094055176,0.024339636415243147,18.867879824818974,lstm,0.9987354278564453,0.9470887780189514
12,True,8000.00011920929,0.030000000447034835,large,dificil,25000,3,True,,8685.113191604614,0.6851130723953247,0.025825072824954987,13.916425199561932,lstm,0.9999275207519531,0.9655498266220093
0,False,,0.0,none,muy_dificil,50000,3,True,,9606.313109397888,,0.0017510341946035623,,lstm,0.9984970092773438,0.8726494312286377
1,True,2000.0000298023224,0.00500000026077032,small,muy_dificil,50000,3,True,,9055.013656616211,7.0550136268138885,0.005829573981463909,16.59147354855899,lstm,0.0,0.8787384629249573
2,True,4000.000059604645,0.00500000026077032,medium,muy_dificil,50000,3,True,,9527.664184570312,5.527664124965668,0.0023683559149503706,52.63288417138018,lstm,0.9973049163818359,0.8885751366615295
3,True,6000.000238418579,0.00500000026077032,large,muy_dificil,50000,3,True,,9542.245268821716,3.542245030403137,0.002569302264600992,48.61395738797112,lstm,1.9984245300292969,0.8929247856140137
4,True,8000.00011920929,0.00500000026077032,small,muy_dificil,50000,3,True,,9539.33298587799,1.5393328666687012,0.0026030419394373894,47.93916392643639,lstm,2.000093460083008,0.8932772874832153
5,True,2000.0000298023224,0.015000000223517418,medium,muy_dificil,50000,3,True,,3777.3212790489197,1.7773212492465973,0.019551625102758406,30.344165409443285,lstm,0.9996891021728516,0.892641007900238
6,True,4000.000059604645,0.015000000223517418,large,muy_dificil,50000,3,True,,7148.929238319397,3.148929178714752,0.01651144288480282,10.076284258421007,lstm,0.9987354278564453,0.9205843806266785
7,True,6000.000238418579,0.015000000223517418,small,muy_dificil,50000,3,True,,9120.128154754639,3.1201279163360596,0.010902158170938491,27.318946610108817,lstm,0.9996891021728516,0.9480907320976257
8,True,8000.00011920929,0.015000000223517418,medium,muy_dificil,50000,3,True,,9152.84276008606,1.15284264087677,0.011675382032990456,22.164120939908607,lstm,1.5072822570800781,0.9485751986503601
9,True,2000.0000298023224,0.030000000447034835,large,muy_dificil,50000,3,True,,2206.9817781448364,0.20698174834251404,0.024161135405302046,19.46288318242307,lstm,1.5087127685546875,0.9128879904747009
10,True,4000.000059604645,0.030000000447034835,small,muy_dificil,50000,3,True,,4722.759127616882,0.7227590680122375,0.024587637931108474,18.041208117586255,lstm,1.5091896057128906,0.9276623725891113
11,True,6000.000238418579,0.030000000447034835,medium,muy_dificil,50000,3,True,,8139.751553535461,2.1397513151168823,0.02635015323758125,12.166157183555411,lstm,1.5070438385009766,0.960870087146759
12,True,8000.00011920929,0.030000000447034835,large,muy_dificil,50000,3,True,,8658.671975135803,0.6586718559265137,0.026676446199417114,11.078513993643014,lstm,1.5025138854980469,0.9671050310134888
